method,n_forecasts,mae,rmse,mape,n_mape,mdape
naive,893,117823.27659574468,275791.1866553213,13.081779187512774,893,3.453210967396731
seasonal_naive,893,345028.73236282193,767683.5691772891,33.80196525312636,893,10.740387920967203
pooled_ar,893,134048.59065097335,303111.0919618895,14.020305371183007,893,4.266864200641024
